952$p,100$a,245$a,440$v,260$b,260$c,300$a,082$a,041$h,003,040$c),650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
LG032716,"Singh, L.P",Digital Protection,,New age Publication,2004,272,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,300,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032717,"Singh, L.P",Digital Protection,,New age Publication,2004,272,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,300,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032718,"Singh, L.P",Digital Protection,,New age Publication,2004,272,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,300,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032719,"Singh, L.P",Digital Protection,,New age Publication,2004,272,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,300,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032720,"Singh, L.P",Digital Protection,,New age Publication,2004,272,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,300,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032721,Badri Ram,Power System Protection amd Switchgear,,Tata Mcgraw Hill,2005,456,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,185,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032722,Badri Ram,Power System Protection amd Switchgear,,Tata Mcgraw Hill,2005,456,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,185,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032723,Badri Ram,Power System Protection amd Switchgear,,Tata Mcgraw Hill,2005,456,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,185,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032724,Badri Ram,Power System Protection amd Switchgear,,Tata Mcgraw Hill,2005,456,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,185,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032725,Badri Ram,Power System Protection amd Switchgear,,Tata Mcgraw Hill,2005,456,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,185,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032726,"Rasid, M.H.",Power Electronics,,Pearson Edu,2005,880,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,225,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032727,"Rasid, M.H.",Power Electronics,,Pearson Edu,2005,880,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,225,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032728,"Rasid, M.H.",Power Electronics,,Pearson Edu,2005,880,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,225,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032729,Krishan,Electric Motor Devices,,Pearson Edu,2003,626,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032730,Krishan,Electric Motor Devices,,Pearson Edu,2003,626,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032731,Krishan,Electric Motor Devices,,Pearson Edu,2003,626,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032732,Krishan,Electric Motor Devices,,Pearson Edu,2003,626,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032733,Krishan,Electric Motor Devices,,Pearson Edu,2003,626,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032734,Goldberg David E.,Genetic Algorithms,,Pearson Edu,2005,412,004,eng,LGGRANT,LGGRANT,Computer Science,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032735,Goldberg David E.,Genetic Algorithms,,Pearson Edu,2005,412,004,eng,LGGRANT,LGGRANT,Computer Science,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032736,Goldberg David E.,Genetic Algorithms,,Pearson Edu,2005,412,004,eng,LGGRANT,LGGRANT,Computer Science,275,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032737,"Srinath , L.S.",Reliability Engineering,,EWP,2005,338,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,149,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032738,"Srinath , L.S.",Reliability Engineering,,EWP,2005,338,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,149,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032739,"Srinath , L.S.",Reliability Engineering,,EWP,2005,338,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,149,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032740,"Srinath , L.S.",Reliability Engineering,,EWP,2005,338,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,149,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032741,"Srinath , L.S.",Reliability Engineering,,EWP,2005,338,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,149,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032742,"Iyer , P.P",Engineering Project Management With Case Studies,,Vikas Publication,2001,410,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,270,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032743,"Iyer , P.P",Engineering Project Management With Case Studies,,Vikas Publication,2001,410,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,270,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032744,"Iyer , P.P",Engineering Project Management With Case Studies,,Vikas Publication,2001,410,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,270,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032745,"Iyer , P.P",Engineering Project Management With Case Studies,,Vikas Publication,2001,410,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,270,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032746,"Iyer , P.P",Engineering Project Management With Case Studies,,Vikas Publication,2001,410,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,270,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032747,"Mukhopadhyay , S.K.",Production Planning and Control,,Prentice Hall of India,2004,313,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,225,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032748,"Mukhopadhyay , S.K.",Production Planning and Control,,Prentice Hall of India,2004,313,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,225,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032749,"Mukhopadhyay , S.K.",Production Planning and Control,,Prentice Hall of India,2004,313,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,225,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032751,"Balchand , B.S.",Logistics Engineering and Management,,Prentice Hall of India,2005,546,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,295,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032752,"Balchand , B.S.",Logistics Engineering and Management,,Prentice Hall of India,2005,546,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,295,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032753,"Mishra, R.C.",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032754,"Mishra, R.C.",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032755,"Mishra, R.C.",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032756,"Mishra, R.C.",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032757,"Mishra, R.C.",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032758,Besterfield,Total Quality Management,,Pearson Edu,2005,652,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032759,Besterfield,Total Quality Management,,Pearson Edu,2005,652,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032760,Besterfield,Total Quality Management,,Pearson Edu,2005,652,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032761,Gopal Krishnan,Maintenance and Spare Parts Management,,Prentice Hall of India,2004,384,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,125,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032762,Gopal Krishnan,Maintenance and Spare Parts Management,,Prentice Hall of India,2004,384,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,125,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032763,Gopal Krishnan,Maintenance and Spare Parts Management,,Prentice Hall of India,2004,384,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,125,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032764,Gopal Krishnan,Maintenance and Spare Parts Management,,Prentice Hall of India,2004,384,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,125,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032765,Gopal Krishnan,Maintenance and Spare Parts Management,,Prentice Hall of India,2004,384,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,125,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032766,"Grover , Mikell P.",Automation Production Systems and Computer Aided Manufacturing,,Pearson Edu,2005,872,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032767,"Grover , Mikell P.",Automation Production Systems and Computer Aided Manufacturing,,Pearson Edu,2005,872,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032768,"Grover , Mikell P.",Automation Production Systems and Computer Aided Manufacturing,,Pearson Edu,2005,872,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032769,"Jain, P.L.",Principles of Foundry Technology,,Tata Mcgraw Hill,2004,401,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,235,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032770,"Jain, P.L.",Principles of Foundry Technology,,Tata Mcgraw Hill,2004,401,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,235,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032771,"Jain, P.L.",Principles of Foundry Technology,,Tata Mcgraw Hill,2004,401,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,235,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032772,"Jain, P.L.",Principles of Foundry Technology,,Tata Mcgraw Hill,2004,401,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,235,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032773,Heine,Principles of Metal Casting,,Tata Mcgraw Hill,2005,736,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032774,Heine,Principles of Metal Casting,,Tata Mcgraw Hill,2005,736,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032775,Heine,Principles of Metal Casting,,Tata Mcgraw Hill,2005,736,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032776,Heine,Principles of Metal Casting,,Tata Mcgraw Hill,2005,736,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032776A,Heine,Principles of Metal Casting,,Tata Mcgraw Hill,2005,736,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032777,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032778,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032779,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032780,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032781,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032782,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032783,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032784,Mittal,Robotics and Control,,Tata Mcgraw Hill,2003,487,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032785,"Little , Richard L.",Welding and Welding Technology,,Tata Mcgraw Hill,2005,434,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,210,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032786,"Little , Richard L.",Welding and Welding Technology,,Tata Mcgraw Hill,2005,434,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,210,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032787,"Little , Richard L.",Welding and Welding Technology,,Tata Mcgraw Hill,2005,434,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,210,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032788,"Little , Richard L.",Welding and Welding Technology,,Tata Mcgraw Hill,2005,434,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,210,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032789,"Little , Richard L.",Welding and Welding Technology,,Tata Mcgraw Hill,2005,434,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,210,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032790,"Rao , P.N.",CAD/ CAM,,Tata Mcgraw Hill,2004,735,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,260,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032791,"Rao , P.N.",CAD/ CAM,,Tata Mcgraw Hill,2004,735,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,260,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032792,"Rao , P.N.",CAD/ CAM,,Tata Mcgraw Hill,2004,735,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,260,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032793,"Rao , P.N.",CAD/ CAM,,Tata Mcgraw Hill,2004,735,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,260,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032795,"Pandey , P.S.",Modern Machining Processes,,Tata Mcgraw Hill,2005,168,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,12/12/2005,337,BK,General Section,NFIC,UBD,
LG032796,Rajsekaran S.,Neural Networks Fuzzy Logic and Genetic Algorithm,,Prentice Hall of India,2005,438,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,325,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032797,Rajsekaran S.,Neural Networks Fuzzy Logic and Genetic Algorithm,,Prentice Hall of India,2005,438,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,325,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032798,Rajsekaran S.,Neural Networks Fuzzy Logic and Genetic Algorithm,,Prentice Hall of India,2005,438,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,325,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032799,Ernest O. Doebelin,Measurement System Applications and Desire,,Tata Mcgraw Hill,2004,1078,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032800,Ernest O. Doebelin,Measurement System Applications and Desire,,Tata Mcgraw Hill,2004,1078,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032801,Ernest O. Doebelin,Measurement System Applications and Desire,,Tata Mcgraw Hill,2004,1078,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032802,Ernest O. Doebelin,Measurement System Applications and Desire,,Tata Mcgraw Hill,2004,1078,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032803,"Doebelin , Ernest O.",Measurement System Applications and Desire,,Tata Mcgraw Hill,2004,1078,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,375,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032804,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032805,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032806,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032807,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032808,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032809,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032810,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032811,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032812,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032813,Ray/ Bhurchandi,Advanced Microprocessors and Peripheral,,Tata Mcgraw Hill,2000,666,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032814,Rashid,Power Electronics,,Pearson Edu,2005,879,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,225,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032815,Rashid,Power Electronics,,Pearson Edu,2005,879,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,225,INR,14/12/2005,9034,BK,General Section,NFIC,PBC,
LG032816,"Pandey , P.S.",Modern Machining Processes,,Tata Mcgraw Hill,2005,169,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032817,"Pandey , P.S.",Modern Machining Processes,,Tata Mcgraw Hill,2005,169,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032818,"Pandey , P.S.",Modern Machining Processes,,Tata Mcgraw Hill,2005,169,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032819,"Pandey , P.S.",Modern Machining Processes,,Tata Mcgraw Hill,2005,169,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,150,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032820,"RadhaKrishnan , V.M.",Welding Technology and Design,,New age Publication,2005,541,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,595,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032821,"RadhaKrishnan , V.M.",Welding Technology and Design,,New age Publication,2005,541,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,595,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032822,"RadhaKrishnan , V.M.",Welding Technology and Design,,New age Publication,2005,541,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,595,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032823,"RadhaKrishnan , V.M.",Welding Technology and Design,,New age Publication,2005,541,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,595,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032824,"RadhaKrishnan , V.M.",Welding Technology and Design,,New age Publication,2005,541,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,595,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032825,"Trikha , S.N.",Machine Design Exercises,,Khanna Publication Brothers,1997,584,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,50,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032826,"Trikha , S.N.",Machine Design Exercises,,Khanna Publication Brothers,1997,584,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,50,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032827,"Yoshikawa, Suneo",Foundation of Robotics,,Prentice Hall of India,2004,285,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,175,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032828,"Yoshikawa, Suneo",Foundation of Robotics,,Prentice Hall of India,2004,285,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,175,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032829,"Vajpayee , S.Kant",Principles of Computer integrated Manufacturing,,Prentice Hall of India,2005,498,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032830,"Vajpayee , S.Kant",Principles of Computer integrated Manufacturing,,Prentice Hall of India,2005,498,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032831,"Joshi , Mohan C.",Optimization theory and Practice,,Narosa Delhi,2004,325,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,295,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032832,"Joshi , Mohan C.",Optimization theory and Practice,,Narosa Delhi,2004,325,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,295,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032833,"Buffa , Elwood S.",Modern Production / Operation Management,,John Wiley,2005,834,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,361.5,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032834,"Buffa , Elwood S.",Modern Production / Operation Management,,John Wiley,2005,834,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,361.5,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032835,"Buffa , Elwood S.",Modern Production / Operation Management,,John Wiley,2005,834,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,361.5,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032836,"Buffa , Elwood S.",Modern Production / Operation Management,,John Wiley,2005,834,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,361.5,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032837,"Buffa , Elwood S.",Modern Production / Operation Management,,John Wiley,2005,834,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,361.5,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032838,Vallmann,Manufacturing Planning and Control for Supply Chain Management,,Tata Mcgraw Hill,2005,712,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,350,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032839,Vallmann,Manufacturing Planning and Control for Supply Chain Management,,Tata Mcgraw Hill,2005,712,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,350,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032840,Vallmann,Manufacturing Planning and Control for Supply Chain Management,,Tata Mcgraw Hill,2005,712,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,350,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032841,Vallmann,Manufacturing Planning and Control for Supply Chain Management,,Tata Mcgraw Hill,2005,712,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,350,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032842,Vallmann,Manufacturing Planning and Control for Supply Chain Management,,Tata Mcgraw Hill,2005,712,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,350,INR,21/12/2005,366,BK,General Section,NFIC,UBD,
LG032843,"Pillai , G.M.",The New Energy Economy,,Wise,2005,254,624,eng,LGGRANT,LGGRANT,Civil Engineering,600,INR,27/02/2006,194,BK,General Section,NFIC,Wise,
LG032844,"Oflahetry , C.A.",Highways The Location Design Construction and Management of Pavements,,Bulterborth,2002,553,624,eng,LGGRANT,LGGRANT,Civil Engineering,375,INR,09/03/2006,3441,BK,General Section,NFIC,APS,
LG032845,RajaGopalan,Presteressed Concrete,,Narosa Delhi,2005,486,624,eng,LGGRANT,LGGRANT,Civil Engineering,350,INR,09/03/2006,3441,BK,General Section,NFIC,APS,
LG032846,Thandavamoorthy,Analysis of Structures,,Oxford,2005,860,624,eng,LGGRANT,LGGRANT,Civil Engineering,275,INR,09/03/2006,3441,BK,General Section,NFIC,APS,
