952$p,100$a,245$a,440$v,260$b,260$c,300$a,082$a,041$h,003,040$c,650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
ST020095,"Gaonkar, R.S.",Microprocessor Architecture Programming & Application With the 8086,,PRI,1999,735,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,225,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020096,Malvino / Brown,Digital Computer Electronics,,Mcgraw Hill,1999,522,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,230,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020097,Malvino / Brown,Digital Computer Electronics,,Mcgraw Hill,1999,522,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,230,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020098,"Rao, S.",EHV-AC & HVDC Transmission Engineering & Practice,,K.P.,1996,1176,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,175,INR,07/01/2000,2384,BK,General Section,NFIC,APS,
ST020099,"Sawhney , A.K.",A Course in Electrical & Electronic Measurements and Instrumentation,,Dhanpat Rai,2000,1542,621.3,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,210,INR,07/01/2000,2384,BK,General Section,NFIC,APS,
ST020100,"Sawhney , A.K.",A Course in Electrical & Electronic Measurements and Instrumentation,,Dhanpat Rai,2000,1542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,210,INR,07/01/2000,2384,BK,General Section,NFIC,APS,
ST020101,Golding/ Widdis,AC Instrumentation Electrical & Electronics Measurementation,,Wheeler,1994,952,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,215,INR,07/01/2000,2384,BK,General Section,NFIC,APS,
ST020102,"Dubey , G.K.",Fundamentals of Electrical Drives,,Narosa,1999,394,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,165,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020103,"Dubey , G.K.",Fundamentals of Electrical Drives,,Narosa,1999,394,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,165,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020104,"Rashid , M.H.",Power Electronics (C-D & App),,Prentice Hall of India,1997,702,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,195,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020105,"Gopal , M.",Control Systems Principles & Design,,Mcgraw Hill,1997,999,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,215,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020106,"Gopal , M.",Control Systems Principles & Design,,Mcgraw Hill,1999,999,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,215,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020107,"Mathur, A.P.",Introduction To Microprocesor,,Mcgraw Hill,1999,612,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,165,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020108,"Mathur, A.P.",Introduction To Microprocesor,,Mcgraw Hill,1999,612,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,165,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020109,"Rao, S.","EHV-AC , HVDC Transmission & Dis Engineering",,K.P.,1999,1421,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,200,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020110,"Cromwell, L.",Biomedical Instrumentation & Measurement,,Prentice Hall of India,1999,510,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,150,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020111,"Cromwell, L.",Biomedical Instrumentation & Measurement,,Prentice Hall of India,1999,510,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,150,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020112,Golding/ Widdis,Electrical Measurement s & Measuring Instrumentation,,Wheeler,1999,952,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,215,INR,28/01/2000,2447,BK,General Section,NFIC,APS,
ST020113,"Bansal , R.K",A Textbook of Fluid Mechanics & Hydraulics Machines,,Laxmi Publication,1998,957,620.1,eng,STSCGRANT,STSCGRANT,Electrical Engineering,240,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020114,"Bansal , R.K",A Textbook of Fluid Mechanics & Hydraulics Machines,,Laxmi Publication,1998,957,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,240,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020115,"Himmelblau , D.M.",Basic Principles & Calculations in Chemical Engineering,,Prentice Hall of India,2000,730,660,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,350,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020116,"Himmelblau , D.M.",Basic Principles & Calculations in Chemical Engineering,,Prentice Hall of India,2000,730,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,350,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020117,"Rao , Gopal M./Sittig Marshell",Dryden's Outlines of Chemical Technology,,EAST-WEST PRESS,2000,802,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,275,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020118,"Rao , Gopal M./Sittig Marshell",Dryden's Outlines of Chemical Technology,,EAST-WEST PRESS,2000,802,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,275,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020119,"Smith , J.M.",Introduction to Chemical Engineering Thermodynamics,,Mcgrawhill,1996,763,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,447,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020120,"Smith , J.M.",Introduction to Chemical Engineering Thermodynamics,,Mcgrawhill,1996,763,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,447,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020121,"Fogler , H.S.",Elements of Chemical Reaction Engineering,,Prentice Hall of India,1999,838,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,195,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020122,"Fogler , H.S.",Elements of Chemical Reaction Engineering,,Prentice Hall of India,1999,838,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,195,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020123,"Levenspiel , C.",Chemical Reaction Engineering,,Wiley,1999,664,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,313,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020124,"Bird, Byron R.",Transport Phenomena,,Wiley,1994,780,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,269,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020125,"Bird, Byron R.",Transport Phenomena,,Wiley,1994,780,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,269,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020126,"Joshi , M.V,",Process Equipment Design,,Wiley,1998,472,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,29,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020127,"Bhattacharya, B.C.",Chemical Equipment Design,,CBS PUBLISHERS & DISTRIBUTORS,1998,298,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,125,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020128,"Bhattacharya, B.C.",Chemical Equipment Design,,CBS PUBLISHERS & DISTRIBUTORS,1998,298,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,125,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020129,Gowariker,Polymer Science,,New Age International,1999,525,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,160,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020130,Gowariker,Polymer Science,,New Age International,1999,525,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,160,INR,28/01/2000,006,BK,General Section,NFIC,APS,
ST020131,"Billmeyer , F,W,",Textbook of Polymer Science,,Wiley,1994,578,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,236,INR,28/01/2000,007,BK,General Section,NFIC,APS,
ST020132,"Billmeyer , F,W,",Textbook of Polymer Science,,Wiley,1994,578,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,236,INR,28/01/2000,007,BK,General Section,NFIC,APS,
ST020133,"Smith, J.M.",Chemical Engineering Kinetics,,Mcgrawhill,1981,676,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,516,INR,28/01/2000,007,BK,General Section,NFIC,APS,
ST020134,Treybal,Mass Transfer Operations,,Mcgrawhill,1981,784,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,516,INR,28/01/2000,007,BK,General Section,NFIC,APS,
ST020135,"Joshi , M.V,",Process Equipment Design,,Macmillan,2000,472,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,295,INR,22/05/2000,016,BK,General Section,NFIC,APS,
ST020136,"Roy, G.K.",Solved Examples in Chemical Engineering,,Khanna Publisher,1999,404,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,75,INR,22/05/2000,016,BK,General Section,NFIC,APS,
ST020137,"Roy, G.K.",Solved Examples in Chemical Engineering,,Khanna Publisher,1999,404,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,75,INR,22/05/2000,016,BK,General Section,NFIC,APS,
ST020138,"Smith, J.M.",Chemical Engineering Kinetics,,Mcgrawhill,1981,676,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,516,INR,22/05/2000,016,BK,General Section,NFIC,APS,
ST020139,Treybal R.E.,Mass Transfer Operations,,Mcgrawhill,1981,784,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,516,INR,22/05/2000,016,BK,General Section,NFIC,APS,
ST020140,"Lee , W.C.Y",Mobile Cellular Telecommunications,,Mcgrawhill,1995,664,621.38,eng,STSCGRANT,STSCGRANT,Chemical Engineering,294,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020141,"Lee , W.C.Y",Mobile Cellular Telecommunications,,Mcgrawhill,1995,664,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,294,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020142,"Lee , W.C.Y",Mobile Cellular Telecommunications,,Mcgrawhill,1995,664,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,294,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020143,"Lee , W.C.Y",Mobile Cellular Telecommunications,,Mcgrawhill,1995,664,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,294,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020144,"Keiser, G.",Optical Fiber Communication,,Mcgrawhill,1991,461,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,427,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020145,"Keiser, G.",Optical Fiber Communication,,Mcgrawhill,1991,461,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,427,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020146,"Keiser, G.",Optical Fiber Communication,,Mcgrawhill,1991,461,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,427,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020147,"Keiser, G.",Optical Fiber Communication,,Mcgrawhill,1991,461,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,427,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020148,"Senior , J.M.",Optical Fiber Communication,,Prentice Hall of India,2000,921,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020149,"Senior , J.M.",Optical Fiber Communication,,Prentice Hall of India,2000,921,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020150,"Senior , J.M.",Optical Fiber Communication,,Prentice Hall of India,2000,921,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020151,"Senior , J.M.",Optical Fiber Communication,,Prentice Hall of India,2000,921,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020152,"Oppenheim , A.V.",Discrete Time Signal Processing,,Prentice Hall of India,2000,879,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020153,"Oppenheim , A.V.",Discrete Time Signal Processing,,Prentice Hall of India,2000,879,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020154,"Oppenheim , A.V.",Discrete Time Signal Processing,,Prentice Hall of India,2000,879,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020155,"Oppenheim , A.V.",Discrete Time Signal Processing,,Prentice Hall of India,2000,879,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,250,INR,22/05/2000,015,BK,General Section,NFIC,APS,
ST020156,"Sharma, B.K",Engineering Chemistry,,Krishna Prakashan,1999,148,'001.3,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,210,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020157,Nagrath/Kothari,Power System Engineering,,Mcgraw Hill,2000,838,620.1,eng,STSCGRANT,STSCGRANT,Humanities,225,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020158,Groover,CAD/ CAM Computer Aided Design & Manufacturing,,Prentice Hall of India,2000,489,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,150,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020159,"Oppenheim , A.V.",Discrete Time Signal Processing,,Prentice Hall of India,2000,879,621.38,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,250,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020160,Proakis,Digital Signal Processing,,Prentice Hall of India,2000,968,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,295,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020161,Stephanopoulas,Chemical Process Control,,Prentice Hall of India,2000,696,660,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,195,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020162,coughanowr,Process Systems Analysis & Control,,Mcgrawhill,1991,566,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,374,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020163,Joshi / Mahajan,Process Equipment Design,,Macmillan,2000,472,660,eng,STSCGRANT,STSCGRANT,Chemical Engineering,295,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020164,Jagdish Lal,Fluid Mechanics,,Metropolitan Book,2000,1048,620.1,eng,STSCGRANT,STSCGRANT,Chemical Engineering,200,INR,13/08/2001,1453,BK,General Section,NFIC,APS,
ST020165,Grewal,Higher Engineering Mathematics,,Khanna Publisher,2001,1227,600,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,265,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020166,"Jain , R.K.",Production Technology,,Khanna Publisher,2001,1768,620.1,eng,STSCGRANT,STSCGRANT,Applied Science,275,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020167,Rangwala,Engineering Materials,,Charotar,2000,539,624,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,95,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020168,Nagrath/ Gopal,Control Systems Engineering,,New Age International,2001,825,621.38,eng,STSCGRANT,STSCGRANT,Civil Engineering,240,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020169,Gupta,Statistical Quality Control,,Khanna Publisher,1996,1413,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,190,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020170,Sharma,Production Engineering,,S.Chand,2001,865,620.1,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,210,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020171,Subramanyam/Brij lal,Optics,,S.Chand,2001,718,'001.3,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,125,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020172,"Raghavan , V.",Materials Science & Engineering,,Prentice Hall of India,2000,434,620.1,eng,STSCGRANT,STSCGRANT,Humanities,150,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020173,Malvino / Brown,Electronics Principles,,Mcgraw Hill,2000,1012,621.38,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,365,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020174,"Balagurusamy ,G.",Object Oriented Programming With C++,,Mcgraw Hill,2001,533,'004,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,165,INR,13/08/2001,1451,BK,General Section,NFIC,APS,
ST020175,Mano M.M.,Computer System Architecture,,Prentice Hall of India,2001,524,'004,eng,STSCGRANT,STSCGRANT,Computer Science,195,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020176,Rangwala,Building Construction,,Charotar,2000,831,624,eng,STSCGRANT,STSCGRANT,Computer Science,140,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020177,Rajaraman,Computer Programming in Fortran 77,,Prentice Hall of India,2000,198,'004,eng,STSCGRANT,STSCGRANT,Civil Engineering,125,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020178,Soni/Gupta,A Textbook on Power System Engineering,,Dhanpat Rai  & Co,1998,1015,620.1,eng,STSCGRANT,STSCGRANT,Computer Science,150,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020179,Arora/Bindra,Building Construction,,Dhanpat Rai  & Co,2000,1014,624,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,130,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020180,Punmia,Surveying -I,I,Laxmi Publication,2000,642,624,eng,STSCGRANT,STSCGRANT,Civil Engineering,150,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020181,Van Valkenberg,Network analysis,,Prentice Hall of India,2000,571,621.38,eng,STSCGRANT,STSCGRANT,Civil Engineering,195,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020182,Bhatt,Engineering Drawing,,Charotar,2000,600,620.1,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,125,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020183,Peterson,Computer Network,,Harcort Asik,2000,748,'004,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,375,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020184,Tanenbaum,Data Structures Using C & C++,,Prentice Hall of India,2000,672,'004,eng,STSCGRANT,STSCGRANT,Computer Science,225,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020185,Jain,Engineering Chemistry,,Dhanpat Rai  & Co,2001,952,'001.3,eng,STSCGRANT,STSCGRANT,Computer Science,170,INR,13/08/2001,1452,BK,General Section,NFIC,APS,
ST020186,"Lee , W.C.Y",Mobile Cellular Telecommunications,,Mcgrawhill,2000,664,621.38,eng,STSCGRANT,STSCGRANT,Humanities,326,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020187,Ramamurtham,Basic Civil Engineering,,Dhanpat Rai  & Co,2001,601,624,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,165,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020188,Gottfried,Programming With C,,Mcgraw Hill,2001,532,'004,eng,STSCGRANT,STSCGRANT,Civil Engineering,245,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020189,"Bimbhra, P.S.",Power Electronics,,Khanna Publisher,2001,583,621.38,eng,STSCGRANT,STSCGRANT,Computer Science,140,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020190,Ryder. J.B,Networks Lines & Fields,,Prentice Hall of India,2000,593,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,150,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020191,Mithal G.K.,Network analysis,,Khanna Publisher,2000,1076,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,150,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020192,Choudhary H.,Workshop Technology-I,I,MPP,1997,653,620.1,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,160,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020193,Choudhary H.,Workshop Technology-II,II,MPP,1997,688,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,160,INR,13/08/2001,1454,BK,General Section,NFIC,APS,
ST020194,"Bhatt, N.D.",Engineering Drawing,,Charotar,2000,600,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,125,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020195,"Bhatt, N.D.",Engineering Drawing,,Charotar,2000,600,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,125,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020196,"Bhatt, N.D.",Engineering Drawing,,Charotar,2000,600,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,125,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020197,"Bhatt, N.D.",Engineering Drawing,,Charotar,2000,600,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,125,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020198,"Khurmi , B.S.",Engineering Mechanics,,S.Chand,2002,840,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,155,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020199,"Khurmi , B.S.",Engineering Mechanics,,S.Chand,2002,840,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,155,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020200,"Khurmi , B.S.",Engineering Mechanics,,S.Chand,2002,840,620.1,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,155,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020201,"Vasishtha , A.R.",Modern Algebra,,Krishna Prakashan,2001,563--72,621.3,eng,STSCGRANT,STSCGRANT,Mechanical Engineering,140,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020202,"Sawhney , A.K.",A Course in Electrical & Electronics Measurement & Instrumentation,,Dhanpat Rai  & Co,2002,1542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,250,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020203,"Sawhney , A.K.",A Course in Electrical & Electronics Measurement & Instrumentation,,Dhanpat Rai  & Co,2002,1542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,250,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020204,"Sawhney , A.K.",A Course in Electrical & Electronics Measurement & Instrumentation,,Dhanpat Rai  & Co,2002,1542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,250,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020205,"Sawhney , A.K.",A Course in Electrical & Electronics Measurement & Instrumentation,,Dhanpat Rai  & Co,2002,1542,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,250,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020206,Nagrath /Kothari,Modern Power Systems Analysis,,Mcgraw Hill,1999,518,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,185,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
ST020207,Nagrath /Kothari,Modern Power Systems Analysis,,Mcgraw Hill,1999,518,621.3,eng,STSCGRANT,STSCGRANT,Electrical Engineering,185,INR,28/12/2001,192,BK,General Section,NFIC,UBD,
