952$p,100$a,245$a,250$a,260$b,260$c,300$a,082$a,041$h,952$a,952$b,650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
SC013251,"Varghese, P C",Advanced Rainforced Concrete Design,,Prentice Hall of India,2003,515,624,eng,SCGRANT,SCGRANT,Civil Engineering,375,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013252,TTTI Madras,Building Technology & Valuation,,Tata McGraw Hill,2003,260,624,eng,SCGRANT,SCGRANT,Civil Engineering,99,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013253,TTTI Madras,Building Technology & Valuation,,Tata McGraw Hill,2003,260,624,eng,SCGRANT,SCGRANT,Civil Engineering,99,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013254,HMT,Production Technology,,Tata McGraw Hill,2004,870,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,550,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013255,HMT,Production Technology,,Tata McGraw Hill,2004,870,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,550,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013256,"Mehta, N K",Machine Tool Design and Numerical Control,,Tata McGraw Hill,2004,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013257,"Mehta, N K",Machine Tool Design and Numerical Control,,Tata McGraw Hill,2004,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013258,"Mehta, N K",Machine Tool Design and Numerical Control,,Tata McGraw Hill,2004,505,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013259,"Dieter, G E",Engineering Design,,Tata McGraw Hilll,2000,798,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,969,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013260,Black,Power Plant Engineering,,CBS,2001,858,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,695,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013261,Black,Power Plant Engineering,,CBS,2001,858,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,695,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013262,"Rajput, R K",Power Plant Engineering,,Laxmi Publication,2004,975,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013263,"Sharma, S C",Plant Layout and Materials Handling,,Khanna Publication,2003,598,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,160,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013264,"Sharma, S C",Plant Layout and Materials Handling,,Khanna Publication,2003,598,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,160,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013265,Timoshenko,Mechanics of Materials,,CBS,2004,762,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013266,Shapiro,Fundamentals of Engineering Thermodynamics,,Wiley Publication,2004,918,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,510,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013267,Shapiro,Fundamentals of Engineering Thermodynamics,,Wiley Publication,2004,918,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,510,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013268,"Adams, E",Production and Operation Management,,Prentice Hall of India,2004,729,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013269,"Sharma, S C",Production Management,,Khanna Publication,1999,1251,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/10/2004,2065,BK,General Section,NFIC,APS,
SC013270,"Srinath, L S",Mechanics of Solids,,Tata McGraw Hill,2003,459,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013271,"Sarkar, B K",Strength of Materials,,Tata McGraw Hill,2003,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,135,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013272,"Kazimi, S M A",Solid Mechanics,,Tata McGraw Hill,2004,450,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013273,"Vijay, M S",Material Science,,Tata McGraw Hill,2004,590,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013274,"Narula, G K",Material Science,,Tata McGraw Hill,2003,392,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,165,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013275,"Agrawal, S K",Fluid Mechanic and Machinery,,Tata McGraw Hill,2003,665,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013276,"Ganesan, V",Gas Turbines,,Tata McGraw Hill,2003,636,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013277,"Arora, C P",Thermodynamics,,Tata McGraw Hill,2002,762,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,285,INR,27/11/2004,226,BK,General Section,NFIC,UBD,3
SC013278,"Nag, P K",Basic Applied ScienceThermodynamics,,Tata McGraw Hill,2004,985,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013279,"Nag, P K",Engineering Thermodynamics,,Tata McGraw Hill,2004,684,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013280,"Reddy, J N",Finite Elements Method,,Tata McGraw Hill,2003,684,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013281,"Pandey, P C",Modern Machining Processes,,Tata McGraw Hill,2004,168,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013282,"Little, R L",Welding and welding Technology,,Tata McGraw Hill,2004,435,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013283,"Campbell, J S",Principles of Manufacturing Materials & Processes,,Tata McGraw Hill,2004,674,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013284,"Bawa, H S",Workshop Technology,,Tata McGraw Hill,2000,379,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,165,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013285,"Bawa, H S",Workshop Practise,,Tata McGraw Hill,2004,221,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,27/11/2004,226,BK,General Section,NFIC,UBD,
SC013286,"Jain, P L",Principles of Foundry Technology,,Tata McGraw Hill,2003,399,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013287,"Rao, P N",Manufacturing Technology,,Tata McGraw Hill,2004,472,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013288,"Rao, P N",Manufacturing Technology,,Tata McGraw Hill,2003,440,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013289,"Deb, S R",Robotics Technology & Flexible automation,,Tata McGraw Hill,2004,423,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013290,"Shigley, J E",Theory of Machines & Mechanics,,Tata McGraw Hilll,1995,779,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013291,"Rattan, S S",Theory of Machines,,Tata McGraw Hill,2004,686,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013292,"Sarkar, B K",Theory of Machines,,Tata McGraw Hill,2002,328,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013293,"Sukhatme, S P",Solar Energy,,Tata McGraw Hill,2004,426,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013294,"Garg, S K",Solar Energy,,Tata McGraw Hill,2004,434,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013295,"Ananthanarayanan, P N",Basic Refrigeration & Airconditioning,,Tata McGraw Hill,2002,585,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,27/10/2004,227,BK,General Section,NFIC,UBD,
SC013296,"Kalam, APJ",India 2020,,Penguin,1998,324,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013297,Hamid,Asian Cities in the 21st Century,,ADB,1999,129,720,eng,SCGRANT,SCGRANT,Architecture,486,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013298,Hamid,Asian Cities in the 21st Century,,ADB,1999,182,720,eng,SCGRANT,SCGRANT,Architecture,486,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013299,Hamid,Asian Cities in the 21st Century,,ADB,1999,39,720,eng,SCGRANT,SCGRANT,Architecture,486,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013300,Westfall,Reforming Dhaka City Management,,ADB,2001,459,720,eng,SCGRANT,SCGRANT,Architecture,972,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013301,"Smith, D V",Sustainable Development in Asia,,ADB,2000,199,720,eng,SCGRANT,SCGRANT,Architecture,972,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013302,"Honachersky, W B",Ecologically Based Municipal Land Use,,Lewis,1999,256,720,eng,SCGRANT,SCGRANT,Architecture,3399,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013303,ADB,Rural Asia,,ADB,2000,187,720,eng,SCGRANT,SCGRANT,Architecture,486,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013304,Stubbs,Megacity Management in the Asian & Pacific Region,,ADB,2000,398,720,eng,SCGRANT,SCGRANT,Architecture,972,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013305,ADB,India,,ADB,2001,98,720,eng,SCGRANT,SCGRANT,Architecture,481,INR,31/08/2004,3610,BK,General Section,NFIC,TBD,
SC013306,Ndubisi,Ecological Planning,,John Hopkis,2002,286,720,eng,SCGRANT,SCGRANT,Architecture,2187,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013307,Strong,The Solar Electric House,,SP,1995,276,720,eng,SCGRANT,SCGRANT,Architecture,1944,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013308,"Biswas, A K",Water for Sustainable Development in 21st Century,,Oxford Publication,1993,273,720,eng,SCGRANT,SCGRANT,Architecture,320,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013309,"Scitt, J S",Penguin Dictionary of Building,,PB,1995,516,720,eng,SCGRANT,SCGRANT,Architecture,536,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013310,"Loraine, R K",Construction Management in Develipment Countries,,Thomson,1993,171,720,eng,SCGRANT,SCGRANT,Architecture,4117,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013311,Hamid,Asian Cities in the 21st Century,,ADB,2000,208,720,eng,SCGRANT,SCGRANT,Architecture,486,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013312,Hamid,Asian Cities in the 21st Century,,ADB,2001,258,720,eng,SCGRANT,SCGRANT,Architecture,729,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013313,"Gupta, R G",Shelter for Poor in the Forth World,,Shipra,1995,376,720,eng,SCGRANT,SCGRANT,Architecture,825,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013314,"Gupta, R G",Shelter for Poor in the Forth World,,Shipra,1995,798,720,eng,SCGRANT,SCGRANT,Architecture,825,INR,31/08/2004,3611,BK,General Section,NFIC,TBD,
SC013315,"Sheppard, S R J",Visual Simulation,,VNR,1989,215,720,eng,SCGRANT,SCGRANT,Architecture,2573,INR,31/08/2004,3613,BK,General Section,NFIC,TBD,
SC013316,Ramsey,Architectural GraPrentice Hall of Indiacs Standard Publications,,Wiley Publication,2000,1071,720,eng,SCGRANT,SCGRANT,Architecture,14094,INR,31/08/2004,3613,BK,General Section,NFIC,TBD,
SC013317,Murray,The Losangeles Times California Homebook,,Abranis,1982,215,720,eng,SCGRANT,SCGRANT,Architecture,2430,INR,31/08/2004,3613,BK,General Section,NFIC,TBD,
SC013318,"Hanson, J R",Functional Group Chemistry,,RSC,2001,165,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013319,Martin,Maths for Chemistry,,RSC,2001,133,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013320,Seddon,Thermodynamics & Statistical Mechanics,,RSC,2001,161,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013321,"Hill, A F",Organisation Metal Chemistry,,RSC,2001,185,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013322,"Barrett, J",Inorganic Chemistry in Aqueous Solution,,RSC,2001,184,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013323,"Hayward, D O",Quantum Mechanics for Chemistry,,RSC,2001,184,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013324,"Hollas, J M",Basic Atomic & Molecular Spectroscopy,,RSC,2001,184,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013325,"Dann, S E",Reaction and Characterization of Solids,,RSC,2001,198,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1305,INR,19/10/2004,3657,Reference,Reference Section,NFIC,TBD,
SC013326,Tortora,Microbilogy : An Introdution,,Pearson Education,2004,898,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1250,INR,31/10/2004,234,BK,General Section,NFIC,UBD,
SC013327,Levin,Genes VIII,,Pearson Education,2004,1027,660,eng,SCGRANT,SCGRANT,Chemical Engineering,1495,INR,31/10/2004,234,Reference,Reference Section,NFIC,UBD,
SC013328,Watson,Molecular Biology of the Gene,,Pearson Education,2004,732,660,eng,SCGRANT,SCGRANT,Chemical Engineering,895,INR,31/10/2004,234,BK,General Section,NFIC,UBD,
SC013329,Murray,Harpers Illustrated Biochemistry,,Tata McGraw Hilll,2003,693,660,eng,SCGRANT,SCGRANT,Chemical Engineering,583,INR,31/10/2004,234,Reference,Reference Section,NFIC,UBD,
SC013330,Cooper,The Cell,,ASM Press,2004,713,660,eng,SCGRANT,SCGRANT,Chemical Engineering,3054,INR,31/10/2004,234,Reference,Reference Section,NFIC,UBD,
SC013331,"Ranga, M M",Animal Biotechnology,,AB,2004,484,660,eng,SCGRANT,SCGRANT,Chemical Engineering,795,INR,31/10/2004,234,Reference,Reference Section,NFIC,UBD,
SC013332,Winter,Genetics,,VBP,2003,374,660,eng,SCGRANT,SCGRANT,Chemical Engineering,195,INR,31/10/2004,234,BK,General Section,NFIC,UBD,
SC013333,Nicklin,Microbiology,,VBP,2003,330,660,eng,SCGRANT,SCGRANT,Chemical Engineering,195,INR,31/10/2004,234,BK,General Section,NFIC,UBD,
SC013334,"Reeves, G",Immunology,,Blackwell,2000,267,660,eng,SCGRANT,SCGRANT,Chemical Engineering,295,INR,31/10/2004,234,BK,General Section,NFIC,UBD,
SC013335,"Smith, A F",Clinical Biochemistry,,Blackwell,2000,317,660,eng,SCGRANT,SCGRANT,Chemical Engineering,295,INR,31/10/2004,234,BK,General Section,NFIC,UBD,
