Barcode,Author,title,Volume,Publisher,Copyright Year,Pages,Notification Number,language,stockhead,issueinglibrary,subject,price,currency,billdate,billnumber,bookcategory,section,booktype,SourceofPurchase,lostStatus
SC019586,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,3
SC019587,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019588,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019589,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019590,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019591,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019592,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019593,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,1999,219,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019594,"Rao, J.S./Gupta , K.",Mechanical Vibrations,,New Age International,2005,538,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019595,"Rao, J.S./Gupta , K.",Mechanical Vibrations,,New Age International,2005,538,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019596,"Rao, J.S./Gupta , K.",Mechanical Vibrations,,New Age International,2005,538,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019597,"Rao, J.S./Gupta , K.",Mechanical Vibrations,,New Age International,2005,538,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019598,"Rao, J.S./Gupta , K.",Mechanical Vibrations,,New Age International,2005,538,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019599,"Sundararajan , T.",Computational Fluid Flow and Heat Transfer,,Narosa Publication,2005,592,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019600,"Sundararajan , T.",Computational Fluid Flow and Heat Transfer,,Narosa Publication,2005,592,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019601,"Sundararajan , T.",Computational Fluid Flow and Heat Transfer,,Narosa Publication,2005,592,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019602,"Sundararajan , T.",Computational Fluid Flow and Heat Transfer,,Narosa Publication,2005,592,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019603,"Sundararajan , T.",Computational Fluid Flow and Heat Transfer,,Narosa Publication,2005,592,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019604,"Ramamurti, V.",Mechanics of Machines,,Narosa Publication,2005,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019605,"Ramamurti, V.",Mechanics of Machines,,Narosa Publication,2005,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019606,"Ramamurti, V.",Mechanics of Machines,,Narosa Publication,2005,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019607,"Ramamurti, V.",Mechanics of Machines,,Narosa Publication,2005,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019608,"Ramamurti, V.",Mechanics of Machines,,Narosa Publication,2005,338,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019609,"Lal, G.K./Reddy, N.V",Fundamentals of Design & Manufacturing,,Narosa Publication,2006,297,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019610,"Lal, G.K./Reddy, N.V",Fundamentals of Design & Manufacturing,,Narosa Publication,2006,297,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019611,"Lal, G.K./Reddy, N.V",Fundamentals of Design & Manufacturing,,Narosa Publication,2006,297,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019612,"Lal, G.K./Reddy, N.V",Fundamentals of Design & Manufacturing,,Narosa Publication,2006,297,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019613,"Lal, G.K./Reddy, N.V",Fundamentals of Design & Manufacturing,,Narosa Publication,2006,297,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,235,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019614,"Krishnamoorthy, C.J.",Computer Aided Design,,Narosa Publication,2005,374,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019615,"Krishnamoorthy, C.J.",Computer Aided Design,,Narosa Publication,2005,374,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019616,"Krishnamoorthy, C.J.",Computer Aided Design,,Narosa Publication,2005,374,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019617,"Krishnamoorthy, C.J.",Computer Aided Design,,Narosa Publication,2005,374,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019618,"Lal, G.K./Choudhary",Fundamentals of Manufacturing Process,,Narosa Publication,2006,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019619,"Lal, G.K./Choudhary",Fundamentals of Manufacturing Process,,Narosa Publication,2006,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019620,"Lal, G.K./Choudhary",Fundamentals of Manufacturing Process,,Narosa Publication,2006,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019621,"Lal, G.K./Choudhary",Fundamentals of Manufacturing Process,,Narosa Publication,2006,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019622,"Lal, G.K./Choudhary",Fundamentals of Manufacturing Process,,Narosa Publication,2006,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,220,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019623,"Bose, S.K.",Operation Research Methods,,Narosa Publication,2005,259,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019624,"Bose, S.K.",Operation Research Methods,,Narosa Publication,2005,259,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019625,"Bose, S.K.",Operation Research Methods,,Narosa Publication,2005,259,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019626,"Bose, S.K.",Operation Research Methods,,Narosa Publication,2005,259,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019627,"Bose, S.K.",Operation Research Methods,,Narosa Publication,2005,259,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019628,"Joshi,M.C./Moudgalya",Optimization Theory and Practice,,Narosa Publication,2006,325,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019629,"Joshi,M.C./Moudgalya",Optimization Theory and Practice,,Narosa Publication,2006,325,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019630,"Joshi,M.C./Moudgalya",Optimization Theory and Practice,,Narosa Publication,2006,325,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019631,"Joshi,M.C./Moudgalya",Optimization Theory and Practice,,Narosa Publication,2006,325,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019632,"Dukkipati , R.V.",Advanced Mechanical Vibration,,Narosa Publication,2006,467,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019633,"Dukkipati , R.V.",Advanced Mechanical Vibration,,Narosa Publication,2006,467,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019634,"Dukkipati , R.V.",Advanced Mechanical Vibration,,Narosa Publication,2006,467,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019635,"Dukkipati , R.V.",Advanced Mechanical Vibration,,Narosa Publication,2006,467,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019636,"Parameswaran, M.A.",An Introduction to Design Engineering,,Narosa Publication,2004,207,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019637,"Parameswaran, M.A.",An Introduction to Design Engineering,,Narosa Publication,2004,207,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019638,"Parameswaran, M.A.",An Introduction to Design Engineering,,Narosa Publication,2004,207,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019639,"Parameswaran, M.A.",An Introduction to Design Engineering,,Narosa Publication,2004,207,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019640,"Parameswaran, M.A.",An Introduction to Design Engineering,,Narosa Publication,2004,207,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019641,"Avudainayagam, A.",Modelling and Simulation,,Narosa Publication,2005,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,590,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019642,"Avudainayagam, A.",Modelling and Simulation,,Narosa Publication,2005,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,590,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019643,"Avudainayagam, A.",Modelling and Simulation,,Narosa Publication,2005,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,590,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019644,"Avudainayagam, A.",Modelling and Simulation,,Narosa Publication,2005,335,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,590,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019645,"Mishra,P.K.",Non Conventional Machining,,Narosa Publication,2007,189,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019646,"Mishra,P.K.",Non Conventional Machining,,Narosa Publication,2007,189,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019647,"Mishra,P.K.",Non Conventional Machining,,Narosa Publication,2007,189,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019648,"Mishra,P.K.",Non Conventional Machining,,Narosa Publication,2007,189,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,1/2/2007,9263,BK,General Section,NFIC,PBC,
SC019649,"Varde, P.V.",Reliability Safety and Hazard,,Narosa Publication,2006,800,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,950,INR,1/2/2007,9263,Reference,Reference Section,NFIC,PBC,
SC019650,"Varde, P.V.",Reliability Safety and Hazard,,Narosa Publication,2006,800,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,950,INR,1/2/2007,9263,Reference,Reference Section,NFIC,PBC,
SC019651,Kumar/Sah,Thermal Engineering,,Narosa Publication,2006,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019652,Kumar/Sah,Thermal Engineering,,Narosa Publication,2006,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,Reference,Reference Section,NFIC,PBC,
SC019653,Kumar/Sah,Thermal Engineering,,Narosa Publication,2006,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019654,Kumar/Sah,Thermal Engineering,,Narosa Publication,2006,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019655,Kumar/Sah,Thermal Engineering,,Narosa Publication,2006,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019656,Kumar/Sah,Thermal Engineering,,Narosa Publication,2006,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019657,Raj Baldev /Shankar,Welding Technnology For Engineers,,Narosa Publication,2006,411,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019658,Raj Baldev /Shankar,Welding Technnology For Engineers,,Narosa Publication,2006,411,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019659,Raj Baldev /Shankar,Welding Technnology For Engineers,,Narosa Publication,2006,411,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,395,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019660,"Nag, P.K",Power Plant Engineering,,Tata McGraw Hill,2006,876,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019661,"Nag, P.K",Power Plant Engineering,,Tata McGraw Hill,2006,876,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019662,"Nag, P.K",Power Plant Engineering,,Tata McGraw Hill,2006,876,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019663,"Nag, P.K",Power Plant Engineering,,Tata McGraw Hill,2006,876,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019664,"Nag, P.K",Power Plant Engineering,,Tata McGraw Hill,2006,876,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019665,"Arora , C.P",Refrigeration and Air Conditioning,,Tata McGraw Hill,2006,987,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,340,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019666,"Arora , C.P",Refrigeration and Air Conditioning,,Tata McGraw Hill,2006,987,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,340,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019667,"Arora , C.P",Refrigeration and Air Conditioning,,Tata McGraw Hill,2006,987,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,340,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019668,"Arora , C.P",Refrigeration and Air Conditioning,,Tata McGraw Hill,2006,987,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,340,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019669,"Arora , C.P",Refrigeration and Air Conditioning,,Tata McGraw Hill,2006,987,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,340,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019670,"Nag, P.K",Engineering Thermodynamics,,Tata McGraw Hill,2006,826,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,3
SC019671,"Nag, P.K",Engineering Thermodynamics,,Tata McGraw Hill,2006,826,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019672,"Nag, P.K",Engineering Thermodynamics,,Tata McGraw Hill,2006,826,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019673,"Nag, P.K",Engineering Thermodynamics,,Tata McGraw Hill,2006,826,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019674,"Mahajan , M.",Statistical Quality Control,,Dhanpat Rai,2008,544,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019675,"Mahajan , M.",Statistical Quality Control,,Dhanpat Rai,2008,544,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019676,"Mahajan , M.",Statistical Quality Control,,Dhanpat Rai,2008,544,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019677,"Mahajan , M.",Statistical Quality Control,,Dhanpat Rai,2008,544,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019678,"Mahajan , M.",Statistical Quality Control,,Dhanpat Rai,2008,544,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019679,Vopat/ Skrotzki,Power Station Engineering and Economy,,Tata McGraw Hill,2006,751,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,299,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019680,Vopat/ Skrotzki,Power Station Engineering and Economy,,Tata McGraw Hill,2006,751,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,299,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019681,Vopat/ Skrotzki,Power Station Engineering and Economy,,Tata McGraw Hill,2006,751,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,299,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019682,Vopat/ Skrotzki,Power Station Engineering and Economy,,Tata McGraw Hill,2006,751,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,299,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019683,Vopat/ Skrotzki,Power Station Engineering and Economy,,Tata McGraw Hill,2006,751,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,299,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019684,"Rattan , S.S.",Theory of Machines,,Tata McGraw Hill,2006,835,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,270,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019685,"Rattan , S.S.",Theory of Machines,,Tata McGraw Hill,2006,835,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,270,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019686,"Rattan , S.S.",Theory of Machines,,Tata McGraw Hill,2006,835,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,270,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019687,"Rattan , S.S.",Theory of Machines,,Tata McGraw Hill,2006,835,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,270,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019688,"Rattan , S.S.",Theory of Machines,,Tata McGraw Hill,2006,835,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,270,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019689,"Bhandari , V.B.",Design of Machine Elements,,Tata McGraw Hill,2006,753,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019690,"Bhandari , V.B.",Design of Machine Elements,,Tata McGraw Hill,2006,753,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019691,"Bhandari , V.B.",Design of Machine Elements,,Tata McGraw Hill,2006,753,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019692,"Bhandari , V.B.",Design of Machine Elements,,Tata McGraw Hill,2006,753,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019693,"Bhandari , V.B.",Design of Machine Elements,,Tata McGraw Hill,2006,753,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019694,"Sarkar, B.K.",Strength of Materials,,Tata McGraw Hill,2006,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019695,"Sarkar, B.K.",Strength of Materials,,Tata McGraw Hill,2006,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019696,"Ganesan, V.",Internal Combustion Engines,,Tata McGraw Hill,2006,777,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,265,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019697,"Ganesan, V.",Internal Combustion Engines,,Tata McGraw Hill,2006,777,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,265,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019698,"Ganesan, V.",Internal Combustion Engines,,Tata McGraw Hill,2006,777,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,265,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019699,"Ganesan, V.",Internal Combustion Engines,,Tata McGraw Hill,2006,777,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,265,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019700,"Ganesan, V.",Internal Combustion Engines,,Tata McGraw Hill,2006,777,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,265,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019701,"Rao, P.N.",Manufacturing Technology,,Tata McGraw Hill,2006,472,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019702,"Rao, P.N.",Manufacturing Technology,,Tata McGraw Hill,2006,472,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
SC019703,"Rao, P.N.",Manufacturing Technology,,Tata McGraw Hill,2006,472,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,210,INR,1/2/2007,9264,BK,General Section,NFIC,PBC,
